Kullanıcı Kodu;TOPLANAN_THM;ARTICLE_CODE;DATE_START_EXECUTION;AREA;AISLE;X;Y;Z;TOPLANAN_ADET;PICKCAR_THM
43937;567930399;1;11.25.2025 12:29 PM;HOM1;19;2;1;L;1;4167417497
44165;567881792;6;11.24.2025 9:03 PM;HOM1;19;15;1;L;1;4167417577
44165;567881792;6;11.24.2025 9:03 PM;HOM1;19;15;1;L;1;4167417577
44165;567881795;3;11.24.2025 9:05 PM;HOM1;19;15;1;L;1;4167417577
44165;567881796;5;11.24.2025 9:05 PM;HOM1;19;15;1;L;1;4167417577
44165;567881797;2;11.24.2025 9:06 PM;HOM1;19;15;1;L;1;4167417577
44165;567881798;4;11.24.2025 9:07 PM;HOM1;19;15;1;L;1;4167417577
44165;567881798;4;11.24.2025 9:07 PM;HOM1;19;15;1;L;1;4167417577
44165;567881801;7;11.24.2025 9:08 PM;HOM1;19;15;1;L;1;4167417577
44165;567718299;8;11.24.2025 9:13 PM;HOM1;20;5;1;R;1;4167417577
44165;4197329480;9;11.24.2025 9:12 PM;HOM1;20;13;1;L;1;4167417577
44165;567758975;10;11.24.2025 9:15 PM;HOM1;22;10;1;L;1;4167417577
44165;567758975;10;11.24.2025 9:15 PM;HOM1;22;10;1;L;1;4167417577
44165;567758975;10;11.24.2025 9:16 PM;HOM1;22;10;1;L;1;4167417577
44165;567758975;10;11.24.2025 9:16 PM;HOM1;22;10;1;L;1;4167417577
44165;567758975;10;11.24.2025 9:16 PM;HOM1;22;10;1;L;1;4167417577
44165;567758975;10;11.24.2025 9:16 PM;HOM1;22;10;1;L;1;4167417577
44165;567826313;10;11.24.2025 9:14 PM;HOM1;22;15;1;L;1;4167417577
43937;167062953;11;11.25.2025 8:58 AM;HOM3;1;19;1;R;1;4167417543
43937;167062953;11;11.25.2025 8:59 AM;HOM3;1;19;1;R;1;4167417543
43058;567944026;12;11.24.2025 3:55 PM;MOR1;1;5;0;R;1;4167417613
43058;567944024;13;11.24.2025 3:55 PM;MOR1;1;11;0;R;1;4167417613
43058;567944029;14;11.24.2025 3:55 PM;MOR1;1;12;0;R;1;4167417613
43058;567890342;15;11.24.2025 3:54 PM;MOR1;1;15;0;R;1;4167417613
43058;567889356;16;11.24.2025 3:54 PM;MOR1;1;29;0;R;1;4167417613
43058;567943998;17;11.24.2025 3:53 PM;MOR1;1;45;0;R;1;4167417613
43937;567878586;18;11.25.2025 11:27 AM;MOR1;2;2;0;R;1;4167417497
43937;567428944;19;11.25.2025 11:28 AM;MOR1;2;3;0;L;1;4167417497
43937;567889210;20;11.25.2025 11:28 AM;MOR1;2;7;0;R;1;4167417497
43937;567899664;21;11.25.2025 11:29 AM;MOR1;2;11;0;R;1;4167417497
43937;567899796;22;11.25.2025 11:29 AM;MOR1;2;12;0;R;1;4167417497
43937;567899668;23;11.25.2025 11:30 AM;MOR1;2;25;0;R;1;4167417497
43937;567863470;25;11.25.2025 11:30 AM;MOR1;2;28;0;L;1;4167417497
43937;567946984;24;11.25.2025 11:30 AM;MOR1;2;28;0;L;1;4167417497
43937;567897768;26;11.25.2025 11:31 AM;MOR1;2;30;0;L;1;4167417497
43937;567897770;27;11.25.2025 11:32 AM;MOR1;2;30;0;L;1;4167417497
43058;567863109;28;11.24.2025 4:01 PM;MOR1;2;31;0;L;1;4167417613
43058;567863109;28;11.24.2025 4:01 PM;MOR1;2;31;0;L;1;4167417613
43058;567885736;30;11.24.2025 3:58 PM;MOR1;2;46;0;L;1;4167417613
43058;567886843;29;11.24.2025 3:59 PM;MOR1;2;46;0;L;1;4167417613
43058;567927408;31;11.24.2025 4:00 PM;MOR1;2;46;0;L;1;4167417613
43058;567927408;31;11.24.2025 4:00 PM;MOR1;2;46;0;L;1;4167417613
43058;567927370;32;11.24.2025 3:56 PM;MOR1;2;48;0;L;1;4167417613
43058;567927370;32;11.24.2025 3:57 PM;MOR1;2;48;0;L;1;4167417613
43937;567895057;33;11.25.2025 11:33 AM;MOR1;3;10;0;L;1;4167417497
43937;567847329;34;11.25.2025 11:33 AM;MOR1;3;11;0;L;1;4167417497
43937;567887885;35;11.25.2025 11:33 AM;MOR1;3;13;0;R;1;4167417497
43937;567848455;36;11.25.2025 11:34 AM;MOR1;3;21;0;R;1;4167417497
43937;567878665;37;11.25.2025 11:34 AM;MOR1;3;24;0;R;1;4167417497
43058;567894897;38;11.24.2025 4:06 PM;MOR1;3;26;0;L;1;4167417613
43058;567895253;39;11.24.2025 4:05 PM;MOR1;3;32;0;L;1;4167417613
43058;567890517;40;11.24.2025 4:05 PM;MOR1;3;33;0;R;1;4167417613
43058;567890517;40;11.24.2025 4:05 PM;MOR1;3;33;0;R;1;4167417613
43058;567890517;40;11.24.2025 4:05 PM;MOR1;3;33;0;R;1;4167417613
43937;567638602;41;11.25.2025 12:19 PM;MOR1;4;5;0;R;1;4167417497
43937;567878187;42;11.25.2025 12:20 PM;MOR1;4;8;0;R;1;4167417497
43937;567927402;43;11.25.2025 12:20 PM;MOR1;4;15;0;L;1;4167417497
43937;567946439;44;11.25.2025 12:21 PM;MOR1;4;15;0;R;1;4167417497
43937;567927405;45;11.25.2025 12:21 PM;MOR1;4;19;0;L;1;4167417497
43937;567894753;46;11.25.2025 12:22 PM;MOR1;4;22;0;R;1;4167417497
43937;567864137;47;11.25.2025 12:22 PM;MOR1;4;41;0;R;1;4167417497
43937;567864137;47;11.25.2025 12:22 PM;MOR1;4;41;0;R;1;4167417497
43937;567864137;47;11.25.2025 12:22 PM;MOR1;4;41;0;R;1;4167417497
43937;567864133;47;11.25.2025 12:22 PM;MOR1;4;42;0;R;1;4167417497
43058;567888842;48;11.24.2025 4:13 PM;MOR1;5;3;0;R;1;4167417613
43058;567888839;49;11.24.2025 4:13 PM;MOR1;5;6;0;L;1;4167417613
43058;567920848;50;11.24.2025 4:12 PM;MOR1;5;9;0;L;1;4167417613
43058;567894593;51;11.24.2025 4:12 PM;MOR1;5;12;0;L;1;4167417613
43058;567857463;52;11.24.2025 4:11 PM;MOR1;5;15;0;R;1;4167417613
43058;567920860;53;11.24.2025 4:11 PM;MOR1;5;15;0;R;1;4167417613
43058;567920860;53;11.24.2025 4:11 PM;MOR1;5;15;0;R;1;4167417613
43058;567920860;53;11.24.2025 4:11 PM;MOR1;5;15;0;R;1;4167417613
43058;567864082;54;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567864082;54;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567864082;54;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567864124;47;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567864124;47;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567864124;47;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567864124;47;11.24.2025 4:10 PM;MOR1;5;16;0;R;1;4167417613
43058;567847509;55;11.24.2025 4:10 PM;MOR1;5;22;0;L;1;4167417613
43058;567920849;56;11.24.2025 4:09 PM;MOR1;5;25;0;R;1;4167417613
43058;567920849;56;11.24.2025 4:10 PM;MOR1;5;25;0;R;1;4167417613
43058;567729526;57;11.24.2025 4:09 PM;MOR1;5;26;0;R;1;4167417613
43058;567729526;57;11.24.2025 4:09 PM;MOR1;5;26;0;R;1;4167417613
43058;567729526;57;11.24.2025 4:09 PM;MOR1;5;26;0;R;1;4167417613
43058;567923663;58;11.24.2025 4:09 PM;MOR1;5;26;0;R;1;4167417613
43058;567923663;58;11.24.2025 4:09 PM;MOR1;5;26;0;R;1;4167417613
43058;567910269;59;11.24.2025 4:09 PM;MOR1;5;27;0;R;1;4167417613
43058;567910269;59;11.24.2025 4:09 PM;MOR1;5;27;0;R;1;4167417613
43058;567876825;60;11.24.2025 4:08 PM;MOR1;5;31;0;L;1;4167417613
43058;567885265;61;11.24.2025 4:08 PM;MOR1;5;33;0;R;1;4167417613
43058;567929348;63;11.24.2025 4:07 PM;MOR1;5;42;0;R;2;4167417613
43058;567929350;62;11.24.2025 4:08 PM;MOR1;5;42;0;R;1;4167417613
