PICKED_THM;ARTICLE_CODE;AREA;AISLE;COLUMN;SHELF;LEFT_OR_RIGHT;STOCK;RESERVED
8517168232;1340;MZN1;1;3;2;L;2;0
8517168232;1344;MZN1;1;3;2;L;2;0
8517168804;968;MZN1;1;3;2;L;4;0
8517168232;1049;MZN1;1;3;2;L;1;0
8517168286;646;MZN1;1;3;2;L;1;0
8517168712;710;MZN1;1;4;1;L;6;0
8517147534;1258;MZN1;1;4;1;L;3;0
8517168712;904;MZN1;1;4;1;L;6;0
8517147534;1992;MZN1;1;4;1;L;1;0
8517168712;876;MZN1;1;4;1;L;1;0
8517169178;1148;MZN1;1;5;2;L;2;0
8517169195;1162;MZN1;1;5;2;L;1;0
8517169328;1371;MZN1;1;5;2;L;1;0
8517163451;507;MZN1;1;5;2;L;5;0
8517163456;507;MZN1;1;5;2;L;5;0
8517169240;1369;MZN1;1;5;2;L;6;0
8517163456;1105;MZN1;1;5;2;L;1;0
8517163497;1105;MZN1;1;5;2;L;1;0
8517163497;866;MZN1;1;5;2;L;3;0
8517169328;1234;MZN1;1;5;2;L;1;0
8517169240;1352;MZN1;1;5;2;L;1;0
8517169240;1351;MZN1;1;5;2;L;4;0
8517169290;1375;MZN1;1;5;2;L;1;0
8517169328;1406;MZN1;1;5;2;L;2;0
8517169178;699;MZN1;1;5;2;L;2;0
8517169178;692;MZN1;1;5;2;L;4;0
8517163487;1087;MZN1;1;5;2;L;1;0
8517169195;1143;MZN1;1;5;2;L;4;0
8517163497;1144;MZN1;1;5;2;L;8;0
8517169240;1144;MZN1;1;5;2;L;4;0
8517169290;1425;MZN1;1;5;2;L;15;0
8517163456;961;MZN1;1;5;2;L;2;0
8517163487;961;MZN1;1;5;2;L;1;0
8517169290;1263;MZN1;1;5;2;L;1;0
167059611;554;MZN1;1;5;1;R;1;0
8517167951;635;MZN1;1;8;2;L;5;0
8517168134;1137;MZN1;1;8;2;L;1;0
8517167886;1078;MZN1;1;8;2;L;8;0
